"dem","slope","aspect","TPI","TRI","ndvi","savi","sample_id","X","Y"
3563,26.2484947739463,305.467980821798,-1.375,27.125,0.462646871805191,0.168225273489952,38,-75.4381343158191,-11.7354484036802
4464,21.3067477139395,149.016615180228,14.25,25.25,0.37571719288826,0.197153329849243,39,-75.361344615532,-11.6973933309716
4449,18.8602186201858,244.005611001355,-19.25,24.75,0.376411229372025,0.136803895235062,40,-75.3525104022246,-11.6715702459193
3428,14.4881819185222,172.495158177645,-7.375,14.875,0.686373353004456,0.324415951967239,41,-75.4558027424338,-11.739525732899
4003,20.4126547263698,169.551473470721,-3.375,21.875,0.449827820062637,0.220656529068947,42,-75.3742561580581,-11.7035093247997
4230,29.313437341005,95.9520618468293,3.125,31.875,0.330028772354126,0.173754394054413,43,-75.4157090051158,-11.6919568920132
4094,32.6276525456521,246.898392031505,0.75,37.25,0.295081704854965,0.110601596534252,44,-75.4021179077198,-11.7130230929769
4396,11.2623979610482,283.035211442652,1.25,11.5,0.258288413286209,0.131726488471031,45,-75.3776539324071,-11.6640951423515
4317,10.1076859385687,229.214890217976,-4,10.75,0.482630044221878,0.287147253751755,46,-75.3912450298031,-11.6967137761018
3909,27.3235011516352,257.541861812068,0.625,29.375,0.328149616718292,0.120773606002331,47,-75.4245432184231,-11.7069070991487
4475,10.7594433190317,263.969925491905,-0.375,10.625,0.324087619781494,0.184314951300621,48,-75.3525104022246,-11.7089457637581
3390,1.0677032817538,275.12099285957,-0.875,1.125,0.348992675542831,0.217431783676147,49,-75.4632778460016,-11.7483599462064
4176,25.9486479317687,155.412443470162,3.875,28.375,0.318657994270325,0.146619141101837,50,-75.3960019138916,-11.7123435381071
4361,12.4879598428758,119.718423292057,3.375,12.625,0.321940958499908,0.190903753042221,51,-75.394642804152,-11.7007911053205
4273,32.2447170942434,127.911193524963,4.375,34.875,0.327509224414825,0.170578733086586,52,-75.3722174934487,-11.6810840140964
4202,5.14753290377754,175.703816687028,-7.125,9.375,0.329133868217468,0.200614541769028,53,-75.3688197190997,-11.679045349487
4296,22.899587413792,215.391861318964,3.625,23.625,0.398558914661407,0.197825461626053,54,-75.3688197190997,-11.696034221232
4437,23.1563006504943,235.938085396487,4.75,24.25,0.308835357427597,0.108154691755772,55,-75.3504717376152,-11.7014706601903
3490,2.4422754532503,314.591797394573,-5.125,5.375,0.448925703763962,0.298944383859634,56,-75.4320183219909,-11.7300119647218
4322,3.73813152582819,212.835918071983,-0.25,3.75,0.361139804124832,0.219084054231644,57,-75.3912450298031,-11.6640951423515
3657,10.0826297988401,274.829967208058,4,11.75,0.34983304142952,0.193929404020309,58,-75.4367752060795,-11.7381666231594
4210,5.51651041963464,281.928627954766,1.875,5.625,0.350571900606155,0.189646184444427,59,-75.3824108164957,-11.7286528549822
