"stratum_id","sample_id","X","Y"
69,207,457568.732864301,8705600.082591
70,208,450927.938529126,8701659.12244882
70,209,450823.095858994,8702321.89755626
70,210,450838.96859055,8702015.32834848
71,211,456878.372429514,8712572.22556346
71,212,456476.830784155,8712770.27758675
71,213,456740.998406281,8712463.79934291
72,214,459716.969643612,8705868.66632795
72,215,459775.553913327,8706007.55974371
72,216,459977.131637114,8705977.83386634
73,217,460431.248566086,8707149.06217006
73,218,459931.888159823,8707037.2259007
73,219,459979.968291643,8706982.28691329
74,220,451682.322595577,8703301.66495775
74,221,451721.620892197,8703662.20021637
74,222,451812.304913386,8703380.01510988
75,223,460238.019688451,8707861.87255671
75,224,460110.280787485,8707840.41281785
75,225,460316.041806625,8707406.26200072
76,226,460850.54518558,8707821.52011948
76,227,461243.354127942,8707810.9795122
76,228,460779.889033458,8708202.35323761
77,229,458151.187827369,8705902.79018807
77,230,457593.050136978,8706510.23835502
77,231,458162.197228436,8706123.75670461
78,232,454762.686883102,8706461.11074858
78,233,455508.926660438,8705924.59694462
78,234,454659.74856453,8705818.72426784
79,235,455242.882063017,8707220.67214472
79,236,455022.466652612,8707511.00604581
79,237,455992.714113387,8708145.58959854
80,238,459188.312286146,8710508.28934054
80,239,458635.89466374,8711289.48973518
80,240,458641.126148079,8711131.37564219
81,241,455324.521736522,8708766.09922349
81,242,454904.274652982,8708405.09505086
81,243,455606.379008792,8708594.86408435
82,244,457327.763595413,8703148.4113504
82,245,457544.028245721,8703412.46845794
82,246,458183.088787738,8703005.55007881
83,247,452939.535939053,8702564.85991535
83,248,453400.81474552,8702617.40507274
83,249,452781.325195595,8702697.27639396
84,250,452399.487720849,8703596.75840534
84,251,452594.983408612,8703930.76963355
84,252,452077.679475154,8703466.60728615
85,253,457765.239104875,8704190.14479323
85,254,457677.350292675,8703976.25605179
85,255,457939.169122908,8704112.84562351
86,256,451150.187067013,8702846.6577252
86,257,451265.733216222,8702419.58995975
86,258,451268.46410093,8702668.30566432
87,259,454798.492614811,8711043.50239898
87,260,455048.605270679,8711523.58835234
87,261,454972.282819291,8711880.4478496
88,262,455800.243354816,8704004.01386207
88,263,456521.273046843,8703898.95565667
88,264,456362.697677143,8703795.25629697
89,265,460416.103983352,8709557.67282907
89,266,460694.697422569,8709987.42960532
89,267,460711.00818326,8709788.09594599
90,268,453486.801879467,8704930.42425106
90,269,453919.936744423,8705163.41582319
90,270,453055.616229152,8705609.33412356
91,271,455981.985941661,8710114.67832335
91,272,456156.36635226,8709775.24849841
91,273,456008.868185333,8709512.9240441
92,274,455120.283328155,8709213.80685563
92,275,454728.18364573,8709011.19740112
92,276,454633.349450465,8708910.40810579
93,277,457028.951447452,8708281.25465008
93,278,456328.180742878,8708434.88809898
93,279,456641.313959983,8707753.1060908
94,280,455618.481554999,8708967.05737249
94,281,455602.111532619,8709072.90478951
94,282,456174.363960366,8709129.83904319
95,283,456427.088856585,8709479.85204783
95,284,456651.664168268,8709983.68934932
95,285,457039.179883376,8709880.62302629
96,286,457333.088478288,8703829.19211759
96,287,457160.129260832,8703622.07393631
96,288,457228.938120403,8703568.77344908
97,289,455752.40569653,8710500.41918583
97,290,454918.62416135,8710324.71548397
97,291,455572.363209946,8709946.7375144
98,292,458561.871276846,8709580.44504465
98,293,458455.351792501,8709988.5546531
98,294,458687.628642462,8710281.06858828
99,295,456072.815339908,8705768.41970201
99,296,455955.125720578,8705810.27086307
99,297,456078.107936396,8705470.18662388
100,298,456513.426561735,8705433.12959198
100,299,457112.820718756,8705853.4377882
100,300,456818.380697985,8706007.03951702
