"dem","slope","aspect","landcover","sample_id","X","Y"
3405,1.83341067578917,170.900326431791,40,84,-75.4564822973036,-11.742923507248
3405,3.32793856958434,193.424310636725,40,85,-75.455123187564,-11.742923507248
3407,3.07150517973721,187.226529871203,40,86,-75.4537640778244,-11.742923507248
3408,2.99128143157915,189.291987168744,40,87,-75.4530845229546,-11.742923507248
3409,2.5065447072317,188.87010638076,40,88,-75.4524049680848,-11.742923507248
3410,1.9231572759404,233.522471285608,40,89,-75.4510458583452,-11.742923507248
3402,1.32980250265159,158.686544370517,40,90,-75.4558027424338,-11.7436030621178
3405,1.02849811551589,202.085368393788,40,91,-75.4537640778244,-11.7436030621178
3405,1.11565439899888,211.326394267162,40,92,-75.4530845229546,-11.7436030621178
3406,1.55829294402171,262.975117334916,40,93,-75.4524049680848,-11.7436030621178
3408,2.86549086197108,309.157968242865,40,94,-75.451725413215,-11.7436030621178
3410,4.06250654205191,330.069193888459,40,95,-75.4510458583452,-11.7436030621178
3412,3.14342174560189,345.769774937505,40,96,-75.4503663034754,-11.7436030621178
3416,3.80273780918373,208.840473204397,40,97,-75.448327638866,-11.7436030621178
3419,4.34030175383349,227.198534253274,40,98,-75.4476480839962,-11.7436030621178
3403,1.58140389277577,205.33232923135,40,99,-75.4571618521734,-11.7442826169876
3401,0.305314577138896,108.190538957703,40,100,-75.4558027424338,-11.7442826169876
